title,address,city,phone,what3words,State
"Tata Motors Cars Showroom - Siva Sankar Motors, Tuni","No 18/23/5, S Annavaram Village & Post",Tuni,9.19167E+11,eagle.cornmeal.brawn,Andhra-Pradesh
"Tata Motors Cars Showroom - Jasper Industries, RK Puram","Door No 22/D/ 3/4, Canal Road",Eluru,9.18879E+11,mango.rock.radio,Andhra-Pradesh
"Tata Motors Cars Showroom - Jasper Industries, Undi Road",RK Complex,Bhimavaram,9.18879E+11,ranking.decoder.impulsive,Andhra-Pradesh
"Tata Motors Cars Showroom - Siva Sankar Motors, NCS Cinema Theatre Road",Ground Floor,Vizianagaram,9.18291E+11,scariest.beeline.wage,Andhra-Pradesh
"Tata Motors Cars Showroom - K Square Motors, Passighat",Ground Floor,East Siang,9.18879E+11,forklift.purchaser.utensil,Arunachal-Pradesh
"Tata Motors Cars Showroom - K Square Motors, Naharlagun",NH 415,Naharlagun,9.17045E+11,epoch.idealistic.ameliorated,Arunachal-Pradesh
"Tata Motors Cars Showroom - K Square Motors, Roing",Ground Floor,Roing,9.18879E+11,reverential.binder.booths,Arunachal-Pradesh
"Tata Motors Cars Showroom - Axom Cars, Guwahati","Ground Floor, Unique Avenuee, GS Road, Supermarket",Guwahati,9.19619E+11,stem.sized.provoking,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, AT Road","Swastik Ayodhya Complex, Kamakhya Gate",Guwahati,9.17045E+11,broads.shadowed.shuttling,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, Guwahati",Zoo Road,Guwahati,9.19167E+11,rooster.generally.gashes,Assam
"Tata Motors Cars Showroom - Bimal Cars, Basistha Chariali","Ground Floor, DN Tower, NH 37",Guwahati,9.17045E+11,yelled.spin.passages,Assam
"Tata Motors Cars Showroom - Bhagyashree Motors, Amingaon",Sila Mahekhaiti,Kamrup,9.18879E+11,agenda.thudding.film,Assam
"Tata Motors Cars Showroom - Bimal Cars, Lokhra","Ground Floor, NH 37",Kamrup,9.18291E+11,swatted.chess.habit,Assam
"Tata Motors Cars Showroom - Bimal Cars, Hajo",Panipara,Kamrup,9.19167E+11,robe.sandstorm.aliveness,Assam
"Tata Motors Cars Showroom - Bimal Cars, Kamrup",Palashbari,Kamrup,9.18292E+11,graphite.sunglasses.timbers,Assam
"Tata Motors Cars Showroom - Bhagyashree Motors, Simlaguri",Barpeta Road,Barpeta,9.18291E+11,reflexivity.solidity.taxable,Assam
"Tata Motors Cars Showroom - Bhagyashree Motors, Dhamdhama Road","Ground Floor, NH 31",Nalbari,9.17045E+11,unnervingly.stores.mistakenly,Assam
"Tata Motors Cars Showroom - Axom Cars Llp, Rangia","No 1, Nakul Road",Rangia,9.19167E+11,giddy.intolerable.spire,Assam
"Tata Motors Cars Showroom - Ashutosh Motors, Sensowa",Biroh Bebejia,Nagaon,9.17045E+11,welling.herein.showrooms,Assam
"Tata Motors Cars Showroom - Ashutosh Motors, Morigaon","Ward No 7, PWD Road",Morigaon,9.18879E+11,fictions.expensive.unheated,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, Sonapur",Ground Floor,Sonapur,9.18291E+11,locksmith.foothold.retraced,Assam
"Tata Motors Cars Showroom - Ashutosh Motors, Borah Market",Ramakrishna Mission Road,Hojai,9.18291E+11,reprinted.condoning.scheduled,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, Goalpara",ground Floor,Goalpara,9.18291E+11,righteously.woodblock.argue,Assam
"Tata Motors Cars Showroom - Axom Cars LLP, Dudhnoi","New Dudhnoi Part 2, Thekasu Part 1",Goalpara,9.18291E+11,waxing.pancreas.yeasts,Assam
"Tata Motors Cars Showroom - Bimal Cars, Dhubri",Matiabug,Dhubri,9.18879E+11,infuses.crucially.cheered,Assam
"Tata Motors Cars Showroom - Champak Automobiles Private Limited, Shamugaon",Ground Floor,Kokrajhar,9.19168E+11,ballerina.aided.stalemates,Assam
"Tata Motors Cars Showroom - Champak Automobiles Private Ltd, Bongaigaon",Ward No 05,Bongaigaon,9.19167E+11,playwright.lyrically.otters,Assam
"Tata Motors Cars Showroom - Ashutosh Motors, Holeswar","Udmari, Borjhar, Dekargaon",Tezpur,9.18291E+11,drive.skater.livelihood,Assam
"Tata Motors Cars Showroom - Subansiri Motors, NH 15",Ward No 3,Narayanpur,9.18291E+11,iniquity.toured.stalagmites,Assam
"Tata Motors Cars Showroom - Ashutosh Motors, Kalyanpur","Ground Floor, NH 15, Moral Gaon",Biswanath Chariali,9.18291E+11,tackling.river.pastures,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, Udalguri","Ward No 1, BTR",Udalguri,9.19168E+11,supposed.neural.reappearing,Assam
"Tata Motors Cars Showroom - Kamakhya Motors, Punia",NH 52,Mangaldai,9.18291E+11,overload.soil.doorknob,Assam
"Tata Motors Cars Showroom - Pragati Motors, Pulibor","Ground Floor, AT Road",Jorhat,9.17045E+11,booklets.electrode.still,Assam
"Tata Motors Cars Showroom - Pragati Motors, AT Road","No 37, NH Bypass",Sivasagar,9.18291E+11,infuses.encounter.shipyards,Assam
"Tata Motors Cars Showroom - Subhangshu Motors, Moran","Ground Floor, Moranhat",Sivasagar,9.19168E+11,refrigerated.seamed.blending,Assam
"Tata Motors Cars Showroom - Pragati Motors, Tiniali","Ground Floor, GD Road",Golaghat,9.18291E+11,nephews.flashbacks.stitched,Assam
"Tata Motors Cars Showroom - Subhangshu Motors, Mohanaghat","Ground Floor, NH 37, Jhapara",Dibrugarh,9.17045E+11,look.anguishing.booklet,Assam
"Tata Motors Cars Showroom - Dhansri Auto Ventures, Hijuguri","Ground Floor, AT Road",Tinsukia,9.17045E+11,physiology.revamp.sidebars,Assam
"Tata Motors Cars Showroom - Dhansri Auto Ventures, Sadiya","Chapakhowa, Nizararpar",Tinsukia,9.18879E+11,toothaches.disputes.rebelled,Assam
"Tata Motors Cars Showroom - Dhansri Auto, Digboi",Golai No 1,Tinsukia,9.18291E+11,overdue.negates.strikingly,Assam
"Tata Motors Cars Showroom - Dhansri, Margherita","Ground Floor, Mission Road",Tinsukia,9.19167E+11,falling.supportively.yielded,Assam
"Tata Motors Cars Showroom - Subhangshu Motors, Kamalabari Road",Ground Floor,Duliajan,9.18291E+11,mouthpieces.homepage.revalue,Assam
"Tata Motors Cars Showroom - Subansiri Motors, Hatilung","Ground Floor, NH 15",North Lakhimpur,9.17045E+11,evaluations.blotted.greenery,Assam
"Tata Motors Cars Showroom - Subansiri Motors, Nalanipam",No 1 & 2,Dhemaji,9.18291E+11,dismantles.personas.abets,Assam
"Tata Motors Cars Showroom - Highway Wheels, Ramnagar","Ground Floor, NH 54",Silchar,9.17045E+11,selectively.kingpin.worms,Assam
"Tata Motors Cars Showroom - Highway Wheels, Hailakandi","Ground Floor, 6th Mile",Hailakandi,9.18291E+11,alight.likeliest.crowns,Assam
"Tata Motors Cars Showroom - Highway Wheels, Bhatgram","Silchar Road, Sarisha",Karimganj,9.18291E+11,continually.columnists.hesitant,Assam
"Tata Motors Cars Showroom - Shankar Motors, Gaushala","NH 30, Deedarganj",Patna,9.18879E+11,deflated.builder.cookbooks,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Deedarganj",NH 30,Patna,9.17045E+11,shop.rehearsed.caused,Bihar
"Tata Motors Cars Showroom - Guinea Motors, Anand Vihar","Ground Floor, West Boring Canal Rd",Patna,9.17045E+11,keepers.acids.quietest,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Bihta","NH 30, Ara Bihta Road",Patna,9.18879E+11,prenatally.backer.questionnaires,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, Danapur Khagual Road",Ground Floor,Patna,9.17045E+11,smelter.openly.organ,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, Golambar",Ground Floor,Buxar,9.18291E+11,morale.resembling.dedicates,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, Chandwa",New Police Line,Arrah,9.18291E+11,flies.firewood.hindered,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, Bakhtiyarpur Road","Chowk No 17, NH 80",Biharsharif,9.18291E+11,copies.crabmeat.reefs,Bihar
"Tata Motors Cars Showroom - Ganga Vehicles, Barh",Ground Floor,Barh,9.18291E+11,turntable.skyrocket.galleries,Bihar
"Tata Motors Cars Showroom - Ganga Vehicles, Ramjanpur",Kazichak Chowk,Begusarai,9.17045E+11,foal.guideline.allergy,Bihar
"Tata Motors Cars Showroom - Magadh Motors, Ahiyapur",NH 139,Arwal,9.18291E+11,reasoned.potholed.exhalations,Bihar
"Tata Motors Cars Showroom - Magadh Motors, Kanoudi",Gaya Patna Road,Jehanabad,9.18291E+11,stuffy.warping.typically,Bihar
"Tata Motors Cars Showroom - Kusumnath Automobiles, Nawada",Ground Floor,Nawada,9.18291E+11,commander.intrigued.putter,Bihar
"Tata Motors Cars Showroom - Ganga Vehicles, Sheikhpura","Dallu More, Bhojdi Road",Sheikhpura,9.18291E+11,responses.slamming.plants,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, Kumharar","Ground Floor, Kumhrar Kankarbagh Main Road",Patna,9.17045E+11,down.contracting.broads,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Kabaiya Thana",Naya Bazar,Lakhisarai,9.18291E+11,share.historic.comforted,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Sabour Road",Ground Floor,Bhagalpur,9.17045E+11,bookmark.deluded.elect,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Katoria Road",Ground Floor,Banka,9.18291E+11,waters.overdrive.destroyer,Bihar
"Tata Motors Cars Showroom - Magadh Motors, Gaya Bodhgaya Road","Ground Floor, NH 83",Gaya,9.17045E+11,appoints.president.scrolled,Bihar
"Tata Motors Cars Showroom - Magadh Motors, Sherghati","Imamganj More, Neta Ji Market",Gaya,9.19168E+11,leaky.bill.rating,Bihar
"Tata Motors Cars Showroom - Urmila Motors, Pachrukhi","Ground Floor, NH 85, Jasauli",Siwan,9.17045E+11,spaniel.retrial.trendiness,Bihar
"Tata Motors Cars Showroom - Urmila Motors, Chapra",Bikhari Thakur Chowk,Chhapra,9.18291E+11,scorched.dangerously.inspects,Bihar
"Tata Motors Cars Showroom - Urmila Motors, Manjhagarh","Bhojpurwa, Gopalganj",Gopalganj,9.18291E+11,unpopulated.meowing.decimation,Bihar
"Tata Motors Cars Showroom - Yashraj Motors, Bibi Ganj","Ground Floor, NH 28",Muzaffarpur,9.17045E+11,mainframe.timeless.valid,Bihar
"Tata Motors Cars Showroom - Yashraj Motors, Bariyarpur Chowk",Bypass Road,Sitamarhi,9.18291E+11,paid.windpipe.tolls,Bihar
"Tata Motors Cars Showroom - Ideal Dealer PV, Sheohar","Ground Floor, SH 48",Sheohar,9.18291E+11,repentance.view.stump,Bihar
"Tata Motors Cars Showroom - Ananya Auto Agency, NH 22",NH 22,Hajipur,9.18291E+11,shadowed.cowboy.trip,Bihar
"Tata Motors Cars Showroom - Ideal Dealer PV, Muzaffarpur","Ground Floor, NH 22, Kurhani, Turki",Muzaffarpur,9.1888E+11,upholding.slide.mattress,Bihar
"Tata Motors Cars Showroom - Nitiraj Motors, Bagaha","Sri Ram Building, Bagaha 1",Bagaha,9.18291E+11,chief.fetchingly.unseat,Bihar
"Tata Motors Cars Showroom - Nitiraj Motors, Chatauni Chowk","Ground Floor, NH 28, Bettiah Road",Motihari,9.17045E+11,punctual.plant.liberty,Bihar
"Tata Motors Cars Showroom - Nitiraj Motors, Bettiah","Ground Floor, NH 727, Bettiah Motihari Road",Bettiah,9.18291E+11,rushing.microfilm.transpose,Bihar
"Tata Motors Cars Showroom - Yashraj Motors, Darbangha",Ground Floor,Darbangha,9.19619E+11,denoting.liver.clerics,Bihar
"Tata Motors Cars Showroom - Yashraj Motors, Madhubani","Ground Floor, Ram Chowk",Madhubani,9.19619E+11,dismayed.getting.coiling,Bihar
"Tata Motors Cars Showroom - Yashraj Motors, Jhanjharpur",Madhepur Main Road,Jhanjharpur,9.18291E+11,daffodils.waged.mats,Bihar
"Tata Motors Cars Showroom - Ideal Dealer PV, Samastipur",Ground Floor,Samastipur,9.18291E+11,deform.symphonic.copper,Bihar
"Tata Motors Cars Showroom - Ideal Dealer PV, Dalsinghsarai","Ground Floor, NH 28, Pagra Chowk",Samastipur,9.18291E+11,vertical.elusiveness.selfless,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Jajhat Sabaila",Ground Floor,Madhepura,9.19168E+11,fenced.provider.cortex,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Tiwari Tola",NH 107,Saharsa,9.18291E+11,basher.boasted.motive,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Shivpuri","BMP Camp, Katihar Purnia Road",Katihar,9.18291E+11,estimate.slacker.incurring,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Rampur Chowk",Raniganj Road,Forbesganj,9.18291E+11,layers.dimension.poems,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Damka","NH 31, Kishanganj Road",Purnia,9.17045E+11,wingman.wondrous.view,Bihar
"Tata Motors Cars Showroom - Nitiraj Motors Pvt Ltd, Chakia","Main Road, NH 28",East Champaran,9.19168E+11,receptions.hustling.yelling,Bihar
"Tata Motors Cars Showroom - Shankar Motors, Rampur",NH 31,Kishanganj,9.18291E+11,evasively.culprits.sponged,Bihar
"Tata Motors Cars Showroom - Berkeley Tata, Chandigarh","Plot No 42, Industrial Area",Chandigarh,9.19167E+11,clustered.grapevine.rested,Chandigarh
"Tata Motors Cars Showroom - Berkeley, Industrial Area Phase 1","Plot No 5, Phase 1",Chandigarh,9.19167E+11,proclaims.mason.mouse,Chandigarh
"Tata Motors Cars Showroom - PPS Motors, Phase I, Chandigarh","Plot No 52, Phase 1",Chandigarh,9.18291E+11,repeat.contain.bookings,Chandigarh
"Tata Motors Cars Showroom - Sairam Automobiles, Krishna Nagar","Ground Floor, GE Road, Supela, Durg",Bhilai,9.17045E+11,sleepers.myths.evoked,Chhattisgarh
"Tata Motors Cars Showroom - Sairam Automobiles, Sivani",Jhalmala Road,Balod,9.18291E+11,faintest.radish.corked,Chhattisgarh
"Tata Motors Cars Showroom - Sairam Automobiles, Bemetara","Nawagarh Chowk, Pikri",Bemetara,9.19168E+11,flight.vocalist.wove,Chhattisgarh
"Tata Motors Cars Showroom - Sairam Automobiles, Manki","Ground Floor, GE Road",Rajnandgaon,9.18291E+11,exorbitant.worthier.unmotivated,Chhattisgarh
"Tata Motors Cars Showroom - Sairam Automobiles, Joratal",Bilaspur Road,Kawardha,9.18291E+11,lingering.pile.combos,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors, Bhatagaon","Khasra No 1458/3, 1463/1, Ring Road No 01",Raipur,9.18879E+11,stray.livid.subsets,Chhattisgarh
"Tata Motors Cars Showroom - National Garage, Mowa","Vidhansabha Road, LIC Colony",Raipur,9.17045E+11,performed.peach.mergers,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors, Chhokra Nala Labhandi","Ground Floor, NH 6, Ravigram",Raipur,9.17045E+11,hillsides.snares.stalemate,Chhattisgarh
"Tata Motors Cars Showroom - Mahadeva Vehicles Pvt Ltd, Raipur",Dhamtari Road,Raipur,9.19167E+11,fuels.bundles.unguarded,Chhattisgarh
"Tata Motors Cars Showroom - National Garage, Tatibandh","Ground Floor, GE Road",Raipur,9.17045E+11,pursue.topped.coolest,Chhattisgarh
"Tata Motors Cars Showroom - Mahadeva Vehicles Pvt Ltd, Tilda",Tilda Kharora Road,Tilda,9.18291E+11,recoding.reproachful.voiced,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors Bhatapara, Vrindavn Colony",Tarenga Road,Bhatapara,9.18291E+11,beginning.wasps.planting,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors, Bamanmudi",Lawan Road,Baloda Bazar,9.18291E+11,vultures.conjecture.ending,Chhattisgarh
"Tata Motors Cars Showroom - Mahadeva Vehicles Pvt Ltd, Kasdol","Ward No 5, Ring Road",Kasdol,9.19619E+11,reciprocal.meanest.baselines,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors, Raipur Road",Ground Floor,Mahasamund,9.18291E+11,accession.sparrow.newsreels,Chhattisgarh
"Tata Motors Cars Showroom - Mahadeva Vehicles, Pithora","Ward No 5, Baar Chowk",Pithora,9.18879E+11,variety.clattered.recoup,Chhattisgarh
"Tata Motors Cars Showroom - Bhasin Motors, Saraipali","Ground Floor, Main Road",Saraipali,9.18291E+11,mutterings.adaptations.yearbook,Chhattisgarh
"Tata Motors Cars Showroom - National Garage, Sorid Nagar",Bastar Road,Dhamtari,9.18291E+11,tomorrow.marketing.glides,Chhattisgarh
"Tata Motors Cars Showroom - National Garage, Rajim",Kurra Nawapara,Raipur,9.18291E+11,headrests.revising.traders,Chhattisgarh
"Tata Motors Cars Showroom - Mahadeva Vehicles Pvt Ltd, Gariyabandh",Ward No 15,Gariyabandh,9.19619E+11,leeway.vacating.initiators,Chhattisgarh
"Tata Motors Cars Showroom - Jagdalpur Motors, Geedam Road","Pandripani, NH 16",Jagdalpur,9.17045E+11,greet.cabaret.enables,Chhattisgarh
"Tata Motors Cars Showroom - Jagdalpur Motors, Mardapal Road","Markam Complex, Main Road",Kondagaon,9.18291E+11,venues.support.named,Chhattisgarh
"Tata Motors Cars Showroom - National Garage, Tikrapara",Main Road,Kanker,9.18291E+11,radiating.expecting.army,Chhattisgarh
"Tata Motors Cars Showroom - Jagdalpur Motors, Bade Bacheli",Ground Floor,Dantewada,9.18291E+11,piggy.swinging.expend,Chhattisgarh
"Tata Motors Cars Showroom - J D Autonation, Bilaspur",Link Road,Bilaspur,9.19111E+11,irritated.ants.presses,Chhattisgarh
"Tata Motors Cars Showroom - JD Autonation, Parsada","Ground Floor, NH 130, Raipur Road",Bilaspur,9.17045E+11,brush.blacksmiths.integrate,Chhattisgarh
"Tata Motors Cars Showroom - J D Autonation, Bilaspur Road",Ground Floor,Mungeli,9.18291E+11,coached.tweeted.streaking,Chhattisgarh
"Tata Motors Cars Showroom - Shivam Automotive, Katghora",Jenjra Bypass Chowk,Korba,9.18291E+11,transcend.interdependency.mush,Chhattisgarh
"Tata Motors Cars Showroom - J D Autonation, Champa Road",Ground Floor,Naila Janjgir,9.18291E+11,congest.periscopes.hails,Chhattisgarh
"Tata Motors Cars Showroom - Shivam Automotive, TP Nagar","Plot No 392, Vijaya Talkies Road",Korba,9.17045E+11,thorax.flattery.cork,Chhattisgarh
"Tata Motors Cars Showroom - Jd Autonation, Sakti","Ward No 14, Chmpa Road",Sakti,9.18291E+11,processes.groaning.beads,Chhattisgarh
"Tata Motors Cars Showroom - Shri Salasar Automotives Private Limited, Bhagwanpur",Jindal Road,Raigarh,9.19168E+11,genetics.lawn.disarmed,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, Pathalgaon",Palidih,Jashpur,9.18879E+11,improves.roadways.slope,Chhattisgarh
"Tata Motors Cars Showroom - SS Cars, Jashpur",Ground Floor,Jashpur,9.19168E+11,bunker.interpreter.aiding,Chhattisgarh
"Tata Motors Cars Showroom - SS Cars, Raigarh",Main Road,Raigarh,9.18292E+11,unfinished.flushing.churn,Chhattisgarh
"Tata Motors Cars Showroom - Shri Salasarautomotives Private Limited, Raigarh Road",Ground Floor,Raigarh,9.18291E+11,pushes.satin.nearing,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, MG Road",1st Floor,Ambikapur,9.17045E+11,nuisances.studied.shocking,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, Ramanujganj Road",Ground Floor,Balrampur,9.18291E+11,voting.tong.overreacted,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, Surajpur","Baikunthpur Road, Chandarpur",Surguja,9.18291E+11,testifying.modifying.leading,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, Manendragarh Road",Ground Floor,Baikunthpur,9.18291E+11,supportively.inhale.snakeskin,Chhattisgarh
"Tata Motors Cars Showroom - Sunil Auto Cars, Jhagrakhand Road",Ground Floor,Manendragarh,9.18291E+11,drainage.desiccation.forgives,Chhattisgarh
"Tata Motors Cars Showroom - Pramukh Tata, Silvassa","Survey No 14/1/1, Showroom 1, Naroli Road",Silvassa,9.19167E+11,stanza.dismissed.wobbly,Dadra-And-Nagar-Haveli
"Tata Motors Cars Showroom - Autovikas, Moti Nagar",No 26/3/4,New Delhi,9.17045E+11,plays.owls.unloads,Delhi
"Tata Motors Cars Showroom - Autovikas, Dwarka, Sector 5","No K1, Rajapuri",New Delhi,9.17045E+11,shred.pods.talkers,Delhi
"Tata Motors Cars Showroom - Autovikas, Wazirpur","Prop A/95/5, Wazirpur Industrial Area",New Delhi,9.17045E+11,sunk.proposals.panic,Delhi
